Species_name_ensembl	Species_symbol_name_ensembl	Phylum	Class	Order	Family	Genus	Total_sleep_time_per_day	REM_sleep_time_per_day	NREM_time_per_day	Percentage_of_NREM_time_per_day	Number_of_sleep_times_per_day	Sleep_timing_per_day
Sperm whale	Physeter catodon	Chordata	Mammalia	Artiodactyla	Physeteridae	Physeter	1.68	NA	NA	NA	NA	NA
Squirrel	Ictidomys tridecemlineatus	Chordata	Mammalia	Rodentia	Sciuridae	Ictidomys	13.8	3.41	10.39	0.752898551	NA	Sleep at night
Three-toed box turtle	Terrapene carolina triunguis	Chordata	Sarcopterygii	Testudines	Emydidae	Terrapene	20.9	NA	NA	NA	NA	NA
Tiger	Panthera tigris altaica	Chordata	Mammalia	Carnivora	Felidae	Panthera	15.8	NA	NA	NA	More than twice	NA
Tree shrew	Tupaia belangeri	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	15.84	2.693	13.147	0.829987374	More than twice	NA
Turkey	Meleagris gallopavo	Chordata	Aves	Galliformes	Phasianidae	Meleagris	10.97	0.57	10.4	0.948040109	NA	NA
Vervet-agm	Chlorocebus sabaeus	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	10.34	0.6	9.74	0.941972921	NA	Sleep at night
White-tufted-ear marmoset	Callithrix jacchus	Chordata	Mammalia	Primates	Cebidae	Callithrix	9.5038	1.6055	7.8983	0.831067573	Once	Sleep at night
Zebra finch	Taeniopygia guttata	Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia	14.67	0.22	14.45	0.985003408	More than twice	Sleep at night
Zebrafish	Danio rerio	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	10	NA	NA	NA	More than twice	Sleep at night
