Gene	Cluster	purity_score	p_value	Estimate.fisher	P.cochran	Estimate.cochran	DiffChange	FDR
AANAT	14	0.875525210084034	3.62573050479746e-06	28.8649776587939	0.220046608844853	1.22640419320846	0.017227796290931	0.000594619802786783
ADCY1	12	0.796474358974359	0.00114911892032612	12.3151558893327	0.885094062312411	-0.144514683614787	0.029129861366703	0.188455502933484
ADIPOQ	9	0.802325581395349	0.0199129276513743	10.0833386072709	0.215334748255521	-1.23902902791639	0.0965328984685201	1
ADORA1	12	0.841463414634147	0.00121142570194451	19.6027063226129	0.673100903717179	-0.421896035742013	0.00813008130081394	0.1986738151189
ADORA2A	7	0.788888888888889	0.575714285714286	2.64712668591173	0.98082033254551	-0.0240404638422326	0.233333333333333	1
ADRB1	6	0.828125	0.28022759601707	5.25146237113844	0.551501599805471	-0.595511521729869	0.519301470588235	1
AGRP	6	0.782608695652174	0.324214608920491	3.76286361761982	0.518631794910249	-0.645455889352052	0.224407637451116	1
AHR	2	0.28	1	1.25541599242842	0.370570880317543	-0.895404529325727		1
ARNTL	8	0.791666666666667	0.312255139114185	4.03900743099942	0.153137640263213	-1.42853600041726	0.091124661246613	1
ARNTL2	5	0.8125	0.0733159043482172	7.79339476772379	0.0653042226885985	1.84316980041755	0.254807692307692	1
ATF4	4	0.787234042553192	0.577466063348416	2.61715199103487	0.42104419867282	0.804610989193309	0.505984042553192	1
ATF5	13	0.888888888888889	9.13102604684036e-05	33.875057513959	0.0034160164454479	-2.92758866567008	0.056502525252525	0.0149748827168182
ATG7	8	0.791666666666667	0.165327827924942	5.36558129186772	0.0673678918910402	-1.82921175669415	0.129432624113475	1
ATOH7	11	0.838235294117647	0.0136366370058939	13.1814061889254	0.701630892550865	0.38311986314218	0.0356037151702789	1
BHLHE40	14	0.827564102564103	0.00188775540597134	11.0682142971347	0.249552837459401	-1.1514361778847	0.0494633273703039	0.3095918865793
BHLHE41	11	0.842105263157895	0.00269633625001415	17.6380187455588	0.795857348668973	0.258712144351825	0.00877192982456199	0.442199145002321
BTBD9	8	0.811111111111111	0.0175394958968766	10.8328767038454	0.0594830038610143	-1.88460635370677	0.228039010797631	1
BTRC	11	0.8375	0.00123281594289947	18.9294947628892	0.333019410314688	-0.968049977728297	0.00823170731707301	0.202181814635513
CARTPT	9	0.817073170731707	0.0164312533524048	11.2913999587669	0.50773656245766	-0.662366196095888	0.0281842818428181	1
CAVIN3	14	0.857487922705314	1.78219754139807e-05	20.5288270959796	0.018733581109919	2.35079043977402	0.052726017943409	0.00292280396789284
CCAR2	10	0.824324324324324	0.001638790706541	16.909909168214	0.778804370300768	0.280877484786268	0.031641397495056	0.268761675872724
CDK1	8	0.811111111111111	0.0175394958968766	10.8328767038454	0.389939573303557	-0.859726953621096	0.228039010797631	1
CHRNB2	13	0.864864864864865	3.0927642893397e-05	30.8124081756591	0.709183498829988	0.372952900536158	0.018711018711019	0.00507213343451711
CIART	10	0.839285714285714	0.00139281689242351	20.4132982516711	0.213587762795649	1.24376038924033	0.032834101382488	0.228421970357456
