gene.idx	gene.cluster.idx	p.purity	P.fisher	P.cochran
PHLPP1	cluster_9	0.0014465	0	0.4805555
PML	cluster_8	0.003906	0	0.495225
PPARA	cluster_3		0.0061695	0.559031
PPARG	cluster_4		0.0001375	0.2544495
PPARGC1A	cluster_10	0.0007215	0	0.5368265
PPP1CA	cluster_13	0.0757585	1e-06	0.909062
PPP1CB	cluster_9	0.002804	0	0.0348405
PPP1CC	cluster_2		0.0053215	0.2696645
PRKAA1	cluster_2		0.118794	0.377516
PRKAA2	cluster_14	0.001655	0	0.232214
PRKCG	cluster_4		0.005399	0.1233065
SERPINE1	cluster_10	0.0013505	0	0.399592
SFPQ	cluster_8	0.005282	0	0.172782
SIAH2	cluster_6	0.003375	0.0065225	0.1245705
SIK1	cluster_5		5e-06	0.4300725
SIN3A	cluster_10	0.0006685	0	0.1389035
SIRT1	cluster_8		0	0.080422
SLC6A4	cluster_10	0.000427	0	0.997685
SOX14	cluster_5		5e-07	0.130537
SPSB4	cluster_6	0.002869	0	0.1069805
SREBF1	cluster_7	0.0011975	0	0.8759565
SUV39H2	cluster_4	0.047878	2.35e-05	0.059233
TH	cluster_14	0.000455	0	0.453205
THRAP3	cluster_11	0.0024845	0	0.015274
TIMELESS	cluster_14	0.0157565	0	0.9322015
TNFRSF11A	cluster_11	0.000895	0	0.017031
TOP1	cluster_11	0.000824	0	0.0783015
TOP2A	cluster_10	0.0022475	0	0.1589925
TP53	cluster_8	0.007286	0.003964	0.2613545
TPH1	cluster_11	0.000566	0	0.418663
TYMS	cluster_9	0.0046055	6e-06	0.3429775
UBE3A	cluster_9	0.0008575	0	0.2084825
USP2	cluster_9	0.0011935	0	0.012903
USP7	cluster_5		0.0065085	0.9443895
