Gene	Cluster	purity_score	P.cochran	Estimate.cochran
PPP1CC	2	0.782608696	0.260704826	-1.12472679
PRKAA1	2	0.274509804	0.360010349	0.915345368
PRKAA2	14	0.833333333	0.225103883	-1.213067843
PRKCG	4	0.784090909	0.117933786	1.563505316
PRKDC	10	0.80952381	0.569372479	-0.568975923
PRMT5	10	0.795454545	0.379920981	0.8780419
PROK2	6	0.804878049	0.032622147	-2.136703105
PROKR2	10	0.828947368	0.462650902	0.734488769
PROX1	11	0.825581395	0.544761173	-0.605628951
PSPC1	5	0.699404762	0.13073128	-1.511224432
PTGDS	11	0.863636364	0.477885646	-0.709707329
RAI1	8	0.817073171	0.536267656	-0.61846683
RBM4	2	0.769230769	0.044474348	-2.009592381
RBM4B	2	0.7625	0.045033319	2.00434311
RELB	9	0.825	0.014033303	-2.456409791
RORA	11	0.818181818	0.210797042	-1.251376788
RORB	6	0.785714286	0.19974307	1.28228391
RORC	10	0.842105263	0.950669346	0.061866249
SERPINE1	10	0.838235294	0.390093942	0.859447012
SETX	11	0.813953488	0.008328532	-2.638452673
SFPQ	8	0.788888889	0.166618512	-1.38315119
SIAH2	6	0.78	0.120396488	-1.553111546
SIK1	5	0.79787234	0.422096101	0.802790038
SIN3A	10	0.825581395	0.133994064	-1.498535935
SIRT1	8	0.821428571	0.077132462	-1.767572121
SLC6A4	10	0.8375	0.99732831	0.003348473
SOX14	5	0.802325581	0.124763294	-1.535083601
SPSB4	6	0.816666667	0.101412204	-1.638045495
SREBF1	7	0.817073171	0.873666896	0.15900251
SUV39H2	4	0.696864111	0.057113406	1.902441911
TH	14	0.883578431	0.443568567	0.766181076
THRAP3	11	0.813953488	0.015137131	-2.429081463
TIMELESS	14	0.804115854	0.930458092	0.0872685
TNFRSF11A	11	0.834782609	0.016794821	2.391168982
TOP1	11	0.829268293	0.075229877	-1.779060297
TOP2A	10	0.806818182	0.153440067	-1.427485272
TP53	8	0.788888889	0.253609528	-1.141625962
TPH1	11	0.833333333	0.410274377	-0.823410882
TYMS	9	0.79787234	0.335071778	-0.963948437
UBE3A	9	0.825581395	0.201928249	-1.276077148
USP2	9	0.828947368	0.012979148	-2.484340933
USP7	5	0.78	0.943175395	0.071279393
USP9X	12	0.846153846	0.006178441	-2.738157891
