	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type	Sleep_Times	Sleep_Timing
218	SRR495397	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
219	SRR495398	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
220	SRR495399	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
221	SRR495400	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
222	SRR495401	PRJNA164679	blood	female	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
223	SRR495402	PRJNA164679	blood	female	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
224	SRR495403	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
225	SRR495404	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
226	SRR495405	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
227	SRR495406	PRJNA164679	blood	male	Horse	2.9	ILLUMINA	Illumina HiSeq 2000	cDNA	short sleep	Once	Sleep at daytime
240	SRR17278628	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
241	SRR17278629	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
242	SRR17278630	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
243	SRR17278632	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
244	SRR17278633	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
245	SRR17278634	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
246	SRR17278635	PRJNA790829	blood		Dog	0.712871287	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio	More than two	Sleep at daytime
247	SRR13899251	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
248	SRR13899252	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
252	SRR13899256	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
253	SRR13899257	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
254	SRR13899259	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
255	SRR13899260	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
256	SRR13899261	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
257	SRR13899263	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
258	SRR13899264	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
259	SRR13899266	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
260	SRR13899267	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
261	SRR13899268	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
262	SRR13899269	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
263	SRR13899271	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
264	SRR13899272	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
265	SRR13899273	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
266	SRR13899274	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
267	SRR13899275	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
268	SRR13899276	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
269	SRR13899277	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
270	SRR13899278	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
271	SRR13899281	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
272	SRR13899282	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
273	SRR13899283	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
274	SRR13899285	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
275	SRR13899286	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
276	SRR13899287	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
277	SRR13899288	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
278	SRR13899289	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
279	SRR13899290	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
281	SRR13899292	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
282	SRR13899293	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
283	SRR13899296	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
284	SRR13899297	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
285	SRR13899298	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
286	SRR13899299	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
287	SRR13899300	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
288	SRR13899302	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
289	SRR13899303	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
290	SRR13899304	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
291	SRR13899306	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
292	SRR13899307	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
293	SRR13899308	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
294	SRR13899309	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio	More than two	Sleep at daytime
329	SRR7970209	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
331	SRR7970211	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
332	SRR7970212	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
333	SRR7970213	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
334	SRR7970214	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
335	SRR7970215	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
336	SRR7970216	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
337	SRR7970217	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
338	SRR7970218	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
339	SRR7970219	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
340	SRR7970220	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
341	SRR7970221	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
342	SRR7970222	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
343	SRR7970223	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
344	SRR7970224	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
345	SRR7970225	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
346	SRR7970226	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
347	SRR7970227	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
348	SRR7970228	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
349	SRR7970229	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
350	SRR7970230	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
351	SRR7970231	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
352	SRR7970232	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
353	SRR7970233	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
354	SRR7970234	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
355	SRR7970235	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
356	SRR7970236	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
357	SRR7970237	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
358	SRR7970238	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
359	SRR7970239	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
360	SRR7970240	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
361	SRR7970241	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
362	SRR7970242	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
363	SRR7970243	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
364	SRR7970244	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
366	SRR7970246	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
367	SRR7970247	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
368	SRR7970248	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
369	SRR7970249	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
370	SRR7970250	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
371	SRR7970251	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
373	SRR7970253	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
374	SRR7970254	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
375	SRR7970255	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
376	SRR7970256	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
377	SRR7970257	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
378	SRR7970258	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
379	SRR7970259	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
380	SRR7970260	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
381	SRR7970261	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
382	SRR7970262	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
383	SRR7970263	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
384	SRR7970264	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
385	SRR7970265	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
386	SRR7970266	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
387	SRR7970267	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
388	SRR7970268	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
389	SRR7970269	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
390	SRR7970270	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
391	SRR7970271	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
392	SRR7970272	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
393	SRR7970273	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
394	SRR7970274	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
395	SRR7970275	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
396	SRR7970276	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
397	SRR7970277	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
398	SRR7970278	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
399	SRR7970279	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
400	SRR7970280	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
401	SRR7970281	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
402	SRR7970282	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
403	SRR7970283	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
404	SRR7970284	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
405	SRR7970285	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
406	SRR7970286	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
407	SRR7970287	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
408	SRR7970288	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
409	SRR7970289	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
410	SRR7970290	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
411	SRR7970291	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
412	SRR7970292	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
413	SRR7970293	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
414	SRR7970294	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
415	SRR7970295	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
416	SRR7970296	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
417	SRR7970297	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
418	SRR7970298	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
419	SRR7970299	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
420	SRR7970300	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
421	SRR7970301	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
422	SRR7970302	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
423	SRR7970303	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
424	SRR7970304	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
425	SRR7970305	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
426	SRR7970306	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
427	SRR7970307	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
428	SRR7970308	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
429	SRR7970309	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
430	SRR7970310	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
431	SRR7970311	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
432	SRR7970312	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
433	SRR7970313	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
434	SRR7970314	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
435	SRR7970315	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
436	SRR7970316	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
437	SRR7970317	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
438	SRR7970318	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
439	SRR7970319	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
440	SRR7970320	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
441	SRR7970321	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
442	SRR7970322	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
443	SRR7970323	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
444	SRR7970324	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
445	SRR7970325	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
446	SRR7970326	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
447	SRR7970327	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
448	SRR7970328	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
449	SRR7970329	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
450	SRR7970330	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
451	SRR7970331	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
452	SRR7970332	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
453	SRR7970333	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
454	SRR7970334	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
455	SRR7970335	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
456	SRR7970336	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio		Sleep at night
