	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type	Sleep_Times	Sleep_Timing
46	SRR10678019	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
47	SRR10678020	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
48	SRR10678021	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
49	SRR10678031	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
50	SRR10678032	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
51	SRR10678033	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
52	SRR10678034	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
53	SRR10678035	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
54	SRR10678036	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
55	SRR10678037	PRJNA595370	blood	female	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
56	SRR10678040	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
57	SRR10678041	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
58	SRR16249198	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
59	SRR16249199	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
60	SRR16249200	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
61	SRR16249201	PRJNA595370	blood	male	Armadillo	17.4	ILLUMINA	NextSeq 500	cDNA	long sleep	More than two	Sleep at daytime
62	ERR3294132	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
63	ERR3294133	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
64	ERR3294134	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
65	ERR3294135	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
66	ERR3294136	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
67	ERR3294137	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
68	ERR3294138	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
69	ERR3294139	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
70	ERR3294156	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
71	ERR3294157	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
72	ERR3294158	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
73	ERR3294159	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
74	ERR3294160	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
75	ERR3294161	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
76	ERR3294162	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
77	ERR3294163	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
78	ERR3294188	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
79	ERR3294189	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
80	ERR3294190	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
81	ERR3294191	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
82	ERR3294192	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
83	ERR3294193	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
84	ERR3294194	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
85	ERR3294195	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
86	ERR3294196	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
87	ERR3294197	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
88	ERR3294198	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
89	ERR3294199	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
90	ERR3294200	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
