	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
463	SRR7970343	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
464	SRR24772313	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
465	SRR24772314	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
466	SRR24772315	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
467	SRR24772319	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
468	SRR24772330	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
469	SRR24772341	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
470	SRR24772352	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
471	SRR24772363	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
472	SRR24772369	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
473	SRR24772370	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
474	SRR24772371	PRJNA977995	blood	female	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
475	SRR24772372	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
476	SRR24772373	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
477	SRR24772374	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
478	SRR24772375	PRJNA977995	blood	male	Zebra finch	0.985003408	ILLUMINA	Illumina NovaSeq 6000	POLYA	high ratio
479	SRR13449229	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
480	SRR13449230	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
481	SRR13449233	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
482	SRR13449234	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
483	SRR13449237	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
484	SRR13449238	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
485	SRR13449243	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
486	SRR13449244	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
487	SRR13449263	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
488	SRR13449264	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
489	SRR13449265	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
490	SRR13449266	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
491	SRR13449269	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
492	SRR13449270	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
493	SRR13449273	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
494	SRR13449274	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
495	SRR13449275	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
496	SRR13449276	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
497	SRR13449277	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
498	SRR13449278	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
499	SRR13449283	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
500	SRR13449284	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
501	SRR13449291	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
502	SRR13449292	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
503	SRR13449293	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
504	SRR13449294	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
505	SRR13449297	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
506	SRR13449298	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
507	SRR13449309	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
508	SRR13449310	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
509	SRR13449315	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
510	SRR13449316	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
511	SRR13449321	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
512	SRR13449322	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
513	SRR13449325	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
514	SRR13449326	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
515	SRR13449331	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
516	SRR13449332	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
517	SRR13449341	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
518	SRR13449342	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
519	SRR13449355	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
520	SRR13449356	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
521	SRR13449369	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
522	SRR13449370	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
523	SRR13449383	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
524	SRR13449384	PRJNA692626	blood		Pig	0.736263736	ILLUMINA	Illumina NovaSeq 6000	cDNA	low ratio
