	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
267	SRR13899275	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
268	SRR13899276	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
269	SRR13899277	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
270	SRR13899278	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
271	SRR13899281	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
272	SRR13899282	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
273	SRR13899283	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
274	SRR13899285	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
275	SRR13899286	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
276	SRR13899287	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
277	SRR13899288	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
278	SRR13899289	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
279	SRR13899290	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
281	SRR13899292	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
282	SRR13899293	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
283	SRR13899296	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
284	SRR13899297	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
285	SRR13899298	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
286	SRR13899299	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
287	SRR13899300	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
288	SRR13899302	PRJNA707872	blood	female	Ferret	0.677348609	ILLUMINA	Illumina HiSeq 2500	cDNA	low ratio
